,budget,animation,drama,history,horror,dansk,language,steven_spielberg_,martin_scorsese_,tim_burtonofi,crew_count,keyword_count,budget_cast_ratio,budget_runtime_ratio,cast_count,149Pictures,BazmarkFilms,BlueSkyStudios,BookshopProductions,DreamWorksAnimation,EdkoFilms,EuropaCorp,GreatAmericanFilmsLimitedPartnership,HomeBoxOffice(HBO),IngeniousFilmPartners,Kennedy/MarshallCompanyThe,LauraZiskinProductions,LeStudioCanal+,Lucasfilm,MarvelStudios,PixarAnimationStudios,TigProductions,WaltDisneyPictures,WildHogsProductions,WingNutFilms,Uruguay,Aug,Fri,revenue
1,1.40E+07,0,0,0,0,0,0,0,0,0,72,6,583333.3333,150537.6344,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12314651
2,4.00E+07,0,1,0,0,0,0,0,0,0,9,6,2.00E+06,353982.3009,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,95149435
3,3300000,0,1,0,0,0,0,0,0,0,64,19,64705.88235,31428.57143,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13092000
4,1200000,0,1,0,0,0,0,0,0,0,3,10,171428.5714,9836.065574,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16000000
5,22601457.78,0,0,0,0,0,0,0,0,0,2,11,5632833.528,190943.5094,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3923970
6,8.00E+06,1,0,0,0,0,0,0,0,0,11,11,2.00E+06,96385.54217,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3261638
7,1.40E+07,0,0,0,1,0,0,0,0,0,77,11,1.00E+06,152173.913,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85446075
8,22604512.86,0,0,0,0,0,0,0,0,0,1,11,5634711.139,268319.578,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2586511
9,22607568.35,0,0,0,0,0,0,0,0,0,8,6,1878863.125,225463.575,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,34327391
10,6.00E+06,0,0,0,0,0,0,0,0,0,11,3,3.00E+05,65934.06593,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18750246
11,1.00E+06,0,1,0,0,0,0,0,0,0,31,22,27027.02703,8403.361345,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117235147
12,22610624.25,0,0,0,0,0,0,0,0,0,2,7,1610990.925,230141.5608,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22642033
