"","revenue","budget","animation","drama","history","horror","dansk","language","steven_spielberg_","martin_scorsese_","tim_burtonofi","crew_count","keyword_count","budget_cast_ratio","budget_runtime_ratio","cast_count","X149Pictures","Appian.Way","Bazmark.Films","Blue.Sky.Studios","Bookshop.Productions","DreamWorks.Animation","Edko.Films","EuropaCorp","Great.American.Films.Limited.Partnership","Home.Box.Office..HBO.","Ingenious.Film.Partners","Kennedy.Marshall.CompanyThe","Laura.Ziskin.Productions","Le.Studio.Canal.","Lucasfilm","Marvel.Studios","Pixar.Animation.Studios","Tig.Productions","Walt.Disney.Pictures","WingNut.Films","Uruguay","Aug","Fri"
"1",12314651,1.4e+07,0,0,0,0,0,0,0,0,0,72,6,583333.3333,150537.6344,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",95149435,4e+07,0,1,0,0,0,0,0,0,0,9,6,2e+06,353982.3009,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"3",13092000,3300000,0,1,0,0,0,0,0,0,0,64,19,64705.88235,31428.57143,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",16000000,1200000,0,1,0,0,0,0,0,0,0,3,10,171428.5714,9836.065574,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",3923970,22601457.78,0,0,0,0,0,0,0,0,0,2,11,5632833.528,190943.5094,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",3261638,8e+06,1,0,0,0,0,0,0,0,0,11,11,2e+06,96385.54217,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7",85446075,1.4e+07,0,0,0,1,0,0,0,0,0,77,11,1e+06,152173.913,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8",2586511,22604512.86,0,0,0,0,0,0,0,0,0,1,11,5634711.139,268319.578,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",34327391,22607568.35,0,0,0,0,0,0,0,0,0,8,6,1878863.125,225463.575,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"10",18750246,6e+06,0,0,0,0,0,0,0,0,0,11,3,3e+05,65934.06593,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",117235147,1e+06,0,1,0,0,0,0,0,0,0,31,22,27027.02703,8403.361345,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",22642033,22610624.25,0,0,0,0,0,0,0,0,0,2,7,1610990.925,230141.5608,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"13",356296601,1.5e+07,0,1,0,0,0,0,0,0,0,109,33,375000,122950.8197,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",95226116,5.3e+07,0,0,0,0,0,0,0,0,0,18,14,898305.0847,449152.5424,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",358372926,1.02e+08,0,0,0,0,0,0,1,0,0,156,15,4434782.609,703448.2759,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",198,5e+05,0,1,0,0,0,0,0,0,0,25,2,38461.53846,5154.639175,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",57891803,2.6e+07,0,0,0,1,0,0,0,0,0,35,4,1083333.333,305882.3529,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"18",1234254,22613680.57,0,1,0,0,0,0,0,0,0,31,3,1187441.627,203255.774,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1749457,8e+06,0,0,0,0,0,0,0,0,0,2,10,347826.087,83333.33333,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",85167639,3.2e+07,0,0,0,0,0,0,0,0,0,17,9,3200000,367816.092,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"21",136159423,8e+07,0,0,0,0,0,0,0,0,0,120,6,4e+06,615384.6154,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"22",36690067,4e+06,0,0,0,1,0,0,0,0,0,11,16,250000,42105.26316,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"23",100345,22616737.29,0,0,0,1,0,0,0,0,0,19,19,752297.0459,194559.5808,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",17011,22619794.44,0,0,0,0,0,0,0,0,0,10,11,1188233.387,245396.0255,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25",4947717,22622851.99,0,0,0,1,0,0,0,0,0,10,5,1737227.679,259585.7451,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",8403433,22625909.96,0,0,0,1,0,0,0,0,0,14,11,1506099.187,237805.1349,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27",13835130,1e+07,0,1,0,0,0,0,0,0,0,18,5,1666666.667,90909.09091,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",7847000,1.1e+07,0,1,0,0,0,0,0,0,0,15,8,458333.3333,118279.5699,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",5849647,6e+06,1,0,0,0,0,0,0,0,0,18,9,181818.1818,71428.57143,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"30",94935764,4.5e+07,0,0,0,0,0,0,0,0,0,8,6,4090909.091,505617.9775,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",426480871,1.3e+07,0,1,0,0,0,0,0,0,0,34,10,406250,116071.4286,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",36000000,22628968.34,0,1,0,0,0,0,0,0,0,18,21,1614215.593,193154.0026,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",146936910,9e+07,0,0,0,0,0,0,0,0,0,92,6,4090909.091,849056.6038,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",7171,22632027.14,0,0,0,1,0,0,0,0,0,59,6,729243.5908,180852.4105,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",258022233,1.4e+08,0,0,0,0,0,0,0,0,0,18,1,7777777.778,1538461.538,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"36",40346186,3e+07,0,0,0,0,0,0,0,0,0,34,2,2e+06,319148.9362,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",151559,22635086.35,0,0,0,0,0,0,0,0,0,2,17,1507605.789,215372.2555,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"38",189859560,5e+07,0,1,0,0,0,0,0,0,0,13,9,3571428.571,393700.7874,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"39",92100,22638145.97,0,0,0,0,0,0,0,0,0,2,11,4524324.972,251351.3873,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"40",14873,3800000,0,0,0,0,0,0,0,0,0,12,7,271428.5714,30894.30894,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",163000,22641206.01,0,0,0,0,0,0,0,0,0,1,3,3771527.567,191772.5881,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
